Date,Open,High,Low,Close,% Change,% Change vs Average,Volume
2025-08-29T17:22:00.000Z,"6,452.91","6,453.21","6,452.28","6,452.28",-0.0104,-0.0108,30
2025-08-29T17:23:00.000Z,"6,452.15","6,452.19","6,450.44","6,451.29",-0.0153,-0.0158,34
2025-08-29T17:24:00.000Z,"6,451.27","6,452.01","6,451.15","6,451.46",0.0026,0.0022,25
2025-08-29T17:25:00.000Z,"6,451.49","6,453.30","6,451.43","6,452.12",0.0102,0.0098,32
2025-08-29T17:26:00.000Z,"6,452.19","6,453.34","6,452.11","6,453.16",0.0161,0.0157,29
2025-08-29T17:27:00.000Z,"6,453.17","6,453.17","6,452.64","6,452.90",-0.004,-0.0044,25
2025-08-29T17:28:00.000Z,"6,452.99","6,453.22","6,452.53","6,452.80",-0.0015,-0.002,27
2025-08-29T17:29:00.000Z,"6,452.81","6,453.30","6,452.09","6,452.24",-0.0087,-0.0091,31
2025-08-29T17:30:00.000Z,"6,452.38","6,455.03","6,452.33","6,455.00",0.0428,0.0424,40
2025-08-29T17:31:00.000Z,"6,455.01","6,455.14","6,453.58","6,453.58",-0.022,-0.0224,32
2025-08-29T17:32:00.000Z,"6,453.51","6,453.53","6,451.34","6,451.34",-0.0347,-0.0351,27
2025-08-29T17:33:00.000Z,"6,451.37","6,452.17","6,451.37","6,451.76",0.0065,0.0061,33
2025-08-29T17:34:00.000Z,"6,451.68","6,452.41","6,451.41","6,452.41",0.0101,0.0097,37
2025-08-29T17:35:00.000Z,"6,452.39","6,453.01","6,452.25","6,452.64",0.0036,0.0032,28
2025-08-29T17:36:00.000Z,"6,452.67","6,453.67","6,452.60","6,452.84",0.0031,0.0027,37
2025-08-29T17:37:00.000Z,"6,452.73","6,454.30","6,452.14","6,454.29",0.0225,0.0221,33
2025-08-29T17:38:00.000Z,"6,454.27","6,455.05","6,454.15","6,454.88",0.0091,0.0087,25
2025-08-29T17:39:00.000Z,"6,454.92","6,455.26","6,454.67","6,454.98",0.0015,0.0011,31
2025-08-29T17:40:00.000Z,"6,454.93","6,456.87","6,454.92","6,456.87",0.0293,0.0289,42
